,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Ägypten,Kairo,Tripolis,Nairobi,Juba,Nordafrika
1,Algerien,Algier,Tunis,Tripolis,Rabat,Nordafrika
2,Angola,Luanda,Lusaka,Kinshasa,Harare,Zentralafrika
3,Äthiopien,Addis Abeba,Asmara,Khartum,Nairobi,Ostafrika
4,Botswana,Gaborone,Windhoek,Masseru,Dodoma,Südafrika
5,Burkina Faso,Quagadougou,Nouakchott,Freetown,Bamako,Westafrika
6,Dschibuti,Dschibuti,Quagadougou,Bamako,Harare,Ostafrika
7,Eritrea,Asmara,Lusaka,Tunis,Nairobi,Ostafrika
8,Gabun,Libreville,Windhoek,Freetown,Dodoma,Zentralafrika
9,Gambia,Banjul,Juba,Asmara,Kinshasa,Westafrika
10,Ghana,Accra,Riad,Nairobi,Kairo,Westafrika
11,Guinea,Conakry,Accra,Banjul,Libreville,Westafrika
12,Kamerun,Yaoundé,Juba,Dschibuti,Kinshasa,Westafrika
13,Côte d'Ivoire,Yamoussoukro,Accra,Luanda,Asmara,(Elfenbeinküste)
14,Kap Verde,Praia,Algier,Gaborone,Addis Abeba,Inselstaat
15,Kenia,Nairobi,Accra,Lusaka,Brazzaville,Ostafrika
16,demo. Rep. Kongo,Kinshasa,Brazzaville,Kampala,Bangul,Zentralafrika
17,Republik Kongo,Brazzaville,Kinshasa,Kampala,Bangul,Zentralafrika
18,Liberia,Monrovia,Dakat,Bamako,Freetown,Westafrika
19,Libyen,Tripolis,Rabat,Tunis,Kairo,Nordafrika
20,Madagaskar,Antananarivo,Asmara,Libreville,Praia,Ostafrika
21,Mali,Bamako,Bangul,Brazzaville,Bangui,Westafrika
22,Marroko,Rabat,Tunis,Bamako,Gaborone,Nordafrika
23,Mauretanien,Nouakchott,Quagadougou,Yamoussoukro,Antananarivo,Westafrika
24,Mauritius,Port Louis,Freetown,Flic en Flac,Maputo,Ostafrika
25,Mosambik,Maputo,Monrovia,Maseru,Mogadischu,Ostafrika
26,Namibia,Windhoek,Pretoria,Luanda,Lusaka,Südafrika
27,Niger,Niamey,N'Djamena,Abuja,Porto Novo,Westafrika
28,Nigeria,Abuja,Malabo,Nairobi,Bangul,Westafrika
29,Ruanda,Kigali,Addis Abeba,Dodoma,Kampala,Ostafrika
30,Sambia,Lusaka,Lilongwe,Harare,Maputo,Ostafrika
31,Senegal,Dakar,Bamul,Bissau,Conakry,Westafrika
32,Seychellen,Victoria,Nairobi,Porto Novo,Luanda,Ostafrika
33,Sierra Leone,Freetown,Conakry,Bissau,Monrovia,Westafrika
34,Simbabwe,Harare,Lusaka,Kapstadt,Kinshasa,Südostafrika
35,Somalia,Mogadischu,Dschibuti,Asmara,Moroni,Ostafrika
36,Sudan,Khartum,Algier,Praia,Accra,Nordafrika
37,Südafrika,Kapstadt,Maputo,Lomé,Nairobi,Südafrika
38,Süd-Sudan,Juba,Asmara,Yaoundé,Bangul,Nordafrika
39,Tansania,Dodoma,Kigali,Dakar,Rabat,Ostafrika
40,Togo,Lomé,Luanda,Lusaka,Algier,Westafrika
41,Chad,N'Djamena,Khartum,Abuja,Malabo,Zentralafrika
42,Tunesien,Tunis,Tripolis,Niamey,Abuja,Nordafrika
43,Uganda,Kampala,Kigali,Kinshasa,Libreville,Ostafrika
44,Zentralafrik. Republik,Bangui,Brazzaville,Bangul,Bamako,Zentralafrika
