,QUESTION,SOLUTION,FAKE_ANSWER_1,FAKE_ANSWER_2,FAKE_ANSWER_3,INFO
0,Ägypten,Kairo,Tripolis,Rabat,Riad,Nordafrika
1,Afghanistan,Kabul,Damaskus,Allepo,Beirut,Südasien
2,Algerien,Algier,Juba,Tunis,Rabat,Nordafrika
3,Bahrain,Manama,Bagdad,Ankara,Asmara,Mittlerer Osten
4,Irak,Bagdad,Teheran,Damaskus,Abu Dhabi,Mittlerer Osten
5,Iran,Teheran,Bagdad,Doha,Riad,Mittlerer Osten
6,Israel,Jerusalem,Tel Aviv,Algier,Tripolis,Mittlerer Osten
7,Jemen,Sanaa,Maskat,Riad,Teheran,Mittlerer Osten
8,Jordanien,Amman,Beirut,Manama,Khartum,Mittlerer Osten
9,Kuwait,Kuwait-Stadt,Maskat,Kabul,Bagdad,Mittlerer Osten
10,Libanon,Beirut,Khartum,Asmara,Juba,Mittlerer Osten
11,Libyen,Tripolis,Tunis,Rabat,Nouakchott,Nordafrika
12,Marroko,Rabat,Tunis,Tripolis,Nouakchott,Nordafrika
13,Mauretanien,Nouakchott,Algier,Rabat,Khartum,Nordafrika
14,Oman,Maskat,Sanaa,Doha,Manama,Mittlerer Osten
15,Pakistan,Islamabad,Kabul,Teheran,Bagdad,Südasien
16,Palästina,Ramallah,Jerusalem,Beirut,Damaskus,Mittlerer Osten
17,Katar,Doha,Ramallah,Sanaa,Abu Dhabi,Mittlerer Osten
18,Saudi Arabien,Riad,Teheran,Kabul,Damaskus,Mittlerer Osten
19,Somalia,Mogadischu,Dschibuti,Asmara,Juba,Ostafrika
20,Sudan,Khartum,Kairo,Juba,Asmara,Nordafrika
21,Syrien,Damaskus,Bagdad,Teheran,Riad,Mittlerer Osten
22,Türkei,Ankara,Istanbul,Damaskus,Dschibuti,Mittlerer Osten
23,Tunesien,Tunis,Tripolis,Rabat,Algier,Nordafrika
24,VAE,Abu Dhabi,Riad,Doha,Maskat,Mittlerer Osten
